Date,Close,High,Low,Open,Volume
2026-05-27 09:00:00+09:00,992.0975952148438,999.246143820988,970.1443597867004,991.540054849814,2195000
2026-05-28 09:00:00+09:00,1003.9454345703124,1005.5383897283438,978.1391842526722,982.0917353818012,2273000
2026-05-29 09:00:00+09:00,1021.06005859375,1022.7126872637696,999.5946022252514,1004.8414977203302,2158000
2026-06-01 09:00:00+09:00,1048.5799560546875,1051.199951171875,1011.5999755859376,1015.3300170898438,2666700
2026-06-02 09:00:00+09:00,1064.5799560546875,1073.969970703125,1047.8900146484375,1049.739990234375,2125600
2026-06-03 09:00:00+09:00,1041.02001953125,1055.969970703125,1031.010009765625,1055.280029296875,2562200
2026-06-04 09:00:00+09:00,1092.6099853515625,1095.9000244140625,1050.0,1052.8699951171875,2608800
2026-06-05 09:00:00+09:00,1038.6800537109375,1098.3599853515625,1035.5999755859375,1092.8199462890625,2643800
2026-06-08 09:00:00+09:00,1045.0,1063.1800537109375,1042.3299560546875,1052.780029296875,2326700
2026-06-09 09:00:00+09:00,1032.010009765625,1064.3499755859375,1006.2999877929688,1061.7900390625,2868500
2026-06-10 09:00:00+09:00,1001.2899780273438,1036.31005859375,1000.0399780273438,1028.3499755859375,2287200
2026-06-11 09:00:00+09:00,1035.6400146484375,1036.9200439453125,1000.4500122070312,1013.5,2561900
2026-06-12 09:00:00+09:00,1062.75,1073.739990234375,1048.06005859375,1053.0,2206000
2026-06-15 09:00:00+09:00,1076.1700439453125,1094.1800537109375,1075.0,1089.52001953125,2364000
2026-06-16 09:00:00+09:00,1090.6700439453125,1097.25,1085.530029296875,1086.0,1965500
2026-06-17 09:00:00+09:00,1099.1400146484375,1121.949951171875,1094.2900390625,1098.4599609375,2180000
2026-06-18 09:00:00+09:00,1096.56005859375,1125.0,1093.3299560546875,1120.0,4499200
2026-06-22 09:00:00+09:00,1106.3699951171875,1115.97998046875,1091.6300048828125,1109.699951171875,1894400
2026-06-23 09:00:00+09:00,1094.43994140625,1103.550048828125,1069.0,1077.3399658203125,2066900
2026-06-24 09:00:00+09:00,1076.9100341796875,1090.0999755859375,1068.510009765625,1090.0,1933100
2026-06-25 09:00:00+09:00,1065.0899658203125,1105.25,1062.0999755859375,1095.6199951171875,1950000
2026-06-26 09:00:00+09:00,1019.6099853515625,1057.0,1013.3800048828125,1054.739990234375,4008500
2026-06-29 09:00:00+09:00,1020.2100219726562,1035.9300537109375,1016.1699829101562,1029.18994140625,1886200
2026-06-30 09:00:00+09:00,1013.5999755859375,1026.3199462890625,1006.110107421875,1019.2899780273438,614484
