Date,Close,High,Low,Open,Volume
2026-05-27 09:00:00+09:00,182.3999938964844,183.72000122070312,180.6699981689453,181.8500061035156,9442800
2026-05-28 09:00:00+09:00,183.02999877929688,185.259994506836,182.08999633789065,183.7100067138672,8725400
2026-05-29 09:00:00+09:00,182.4600067138672,182.97000122070312,180.3999938964844,182.72000122070312,13886500
2026-06-01 09:00:00+09:00,185.8300018310547,187.94000244140625,184.0200042724609,184.3800048828125,8850500
2026-06-02 09:00:00+09:00,187.5500030517578,188.4499969482422,184.8800048828125,184.8800048828125,6549800
2026-06-03 09:00:00+09:00,189.7100067138672,191.47999572753903,187.9600067138672,188.88999938964844,7983700
2026-06-04 09:00:00+09:00,188.3500061035156,190.1000061035156,187.6699981689453,189.0,5163200
2026-06-05 09:00:00+09:00,187.3099975585937,189.6100006103516,186.58999633789065,189.0599975585937,6310900
2026-06-08 09:00:00+09:00,189.2400054931641,191.02999877929688,188.5,188.6999969482422,6113000
2026-06-09 09:00:00+09:00,186.759994506836,189.3800048828125,185.47000122070312,188.5,8469900
2026-06-10 09:00:00+09:00,189.8000030517578,192.69000244140625,188.22999572753903,189.19000244140625,10041800
2026-06-11 09:00:00+09:00,185.82000732421875,192.25,185.5500030517578,191.8099975585937,9274100
2026-06-12 09:00:00+09:00,187.22000122070312,188.3999938964844,184.3600006103516,185.0800018310547,8703400
2026-06-15 09:00:00+09:00,180.3999938964844,181.6699981689453,177.75999450683594,178.89999389648438,10184900
2026-06-16 09:00:00+09:00,180.11000061035156,180.25,178.3300018310547,178.6199951171875,6663500
2026-06-17 09:00:00+09:00,177.5800018310547,180.0800018310547,177.10000610351562,179.00999450683594,8430000
2026-06-18 09:00:00+09:00,173.6300048828125,175.63999938964844,172.22999572753906,175.63999938964844,19146100
2026-06-22 09:00:00+09:00,175.05999755859375,175.4499969482422,172.86000061035156,174.0800018310547,11108900
2026-06-23 09:00:00+09:00,175.97999572753906,176.39999389648438,174.6999969482422,175.77999877929688,6551400
2026-06-24 09:00:00+09:00,171.5301055908203,173.88999938964844,170.86000061035156,173.88999938964844,4289819
