Date,Close,High,Low,Open,Volume
2026-05-27 09:00:00+09:00,238.2400054931641,244.2400054931641,237.27999877929688,237.759994506836,3402000
2026-05-28 09:00:00+09:00,241.44000244140625,244.759994506836,236.6600036621093,239.57000732421875,3386500
2026-05-29 09:00:00+09:00,259.2099914550781,260.6300048828125,244.6600036621093,245.22999572753903,10808900
2026-06-01 09:00:00+09:00,274.0299987792969,275.44000244140625,262.29998779296875,270.0,8535300
2026-06-02 09:00:00+09:00,262.1099853515625,272.0299987792969,260.04998779296875,267.9800109863281,5821800
2026-06-03 09:00:00+09:00,256.239990234375,260.0,252.33999633789065,259.3900146484375,4871300
2026-06-04 09:00:00+09:00,258.4200134277344,265.94000244140625,258.3299865722656,263.0199890136719,5161900
2026-06-05 09:00:00+09:00,251.44000244140625,262.5299987792969,249.0500030517578,259.2799987792969,4909200
2026-06-08 09:00:00+09:00,244.9900054931641,250.7400054931641,244.25,249.0599975585937,4728000
2026-06-09 09:00:00+09:00,237.8800048828125,245.25,233.3300018310547,242.97999572753903,6747400
2026-06-10 09:00:00+09:00,233.3800048828125,238.50999450683597,231.7400054931641,233.0200042724609,5176900
2026-06-11 09:00:00+09:00,218.8000030517578,232.5,218.08999633789062,229.9199981689453,17786900
2026-06-12 09:00:00+09:00,204.02000427246094,205.64999389648438,196.89999389648438,202.39999389648438,25030700
2026-06-15 09:00:00+09:00,206.36000061035156,211.99000549316406,205.72000122070312,206.8800048828125,9676900
2026-06-16 09:00:00+09:00,207.32000732421875,210.8000030517578,203.83999633789062,205.3800048828125,7199800
2026-06-17 09:00:00+09:00,201.69500732421875,206.49989318847656,199.55999755859375,204.02000427246094,5622795
