Date,Close,High,Low,Open,Volume
2026-05-27 09:00:00+09:00,384.010009765625,384.5299987792969,377.0899963378906,378.4299926757813,4544000
2026-05-28 09:00:00+09:00,382.5299987792969,389.260009765625,380.9599914550781,384.9599914550781,4330800
2026-05-29 09:00:00+09:00,380.30999755859375,385.1199951171875,375.4500122070313,383.7799987792969,10257900
2026-06-01 09:00:00+09:00,379.8599853515625,383.3500061035156,375.9200134277344,376.1099853515625,6623700
2026-06-02 09:00:00+09:00,377.9200134277344,380.0799865722656,374.7200012207031,377.9800109863281,3874400
2026-06-03 09:00:00+09:00,377.0,387.4599914550781,376.80999755859375,380.0,6808400
2026-06-04 09:00:00+09:00,396.4700012207031,401.3800048828125,389.8200073242188,390.0,12666100
2026-06-05 09:00:00+09:00,399.4700012207031,404.0400085449219,397.2000122070313,399.5400085449219,10897300
2026-06-08 09:00:00+09:00,406.5700073242188,408.7099914550781,394.989990234375,397.1300048828125,6963200
2026-06-09 09:00:00+09:00,413.0,413.0,407.4400024414063,409.989990234375,8590400
2026-06-10 09:00:00+09:00,405.1460266113281,413.61766096102207,402.2525488568183,411.1517339543602,6512900
2026-06-11 09:00:00+09:00,403.2468566894531,407.6517216421196,400.82071109845896,406.38891459163034,4938100
2026-06-12 09:00:00+09:00,406.20001220703125,407.5622574937536,402.5110897188582,406.6872501409831,7269600
2026-06-15 09:00:00+09:00,411.0400085449219,414.1600036621094,399.6499938964844,406.70001220703125,6777900
2026-06-16 09:00:00+09:00,407.6499938964844,411.7049865722656,406.5400085449219,410.67498779296875,4747052
