Date,Close,High,Low,Open,Volume
2026-05-27 09:00:00+09:00,7520.35986328125,7530.72021484375,7499.72021484375,7526.009765625,5524250000
2026-05-28 09:00:00+09:00,7563.6298828125,7568.72021484375,7508.0400390625,7519.81982421875,5494860000
2026-05-29 09:00:00+09:00,7580.06005859375,7599.3798828125,7563.5498046875,7579.330078125,7858290000
2026-06-01 09:00:00+09:00,7599.9599609375,7617.66015625,7562.60986328125,7582.2900390625,6583960000
2026-06-02 09:00:00+09:00,7609.77978515625,7620.89990234375,7582.990234375,7595.39990234375,5904410000
2026-06-03 09:00:00+09:00,7553.68017578125,7605.35009765625,7551.22021484375,7605.31005859375,5753860000
2026-06-04 09:00:00+09:00,7584.31005859375,7598.18994140625,7516.5400390625,7516.5400390625,5398910000
2026-06-05 09:00:00+09:00,7383.740234375,7541.81005859375,7368.6298828125,7537.35986328125,5591290000
2026-06-08 09:00:00+09:00,7405.72998046875,7466.81005859375,7395.1298828125,7440.56982421875,4898180000
2026-06-09 09:00:00+09:00,7386.64990234375,7483.14990234375,7237.85009765625,7438.66015625,6006390000
2026-06-10 09:00:00+09:00,7311.669921875,7396.56005859375,7291.22998046875,7350.5400390625,1774739000
